service_order_no,order_date,region,technician_id,job_code,job_description,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct
50001,2024-04-12,DE-Munich,T0171,85005,Refrigerant Charge,104.01,98.48,27.01,229.5,251.65,0.066,235.04,0,5.54,0.0236
50002,2024-12-14,DE-Berlin,T0112,82010,Evaporator Coil Replace,66.15,84.17,19.28,169.6,222.4,0.234,170.36,1,0.76,0.0045
50003,2024-09-27,EU-EMEA-Remote,T0233,85005,Refrigerant Charge,93.14,105.01,24.74,222.89,240.57,0.059,226.38,0,3.49,0.0154
50004,2024-04-16,DE-Berlin,T0119,84015,Leak Diagnosis & Seal,581.22,89.99,11.92,683.13,818.24,0.073,758.51,0,75.38,0.0994
50005,2024-03-12,AT-Vienna,T0187,81433,Drier Replace,156.99,123.09,20.2,300.28,359.11,0.114,318.17,0,17.89,0.0562
50006,2024-07-07,NL-Amsterdam,T0288,85005,Refrigerant Charge,221.31,71.2,14.77,307.28,370.56,0.158,312.01,0,4.73,0.0152
50007,2024-01-21,DE-Hamburg,T0219,85005,Refrigerant Charge,133.22,72.17,24.1,229.49,245.84,0.124,215.36,0,-14.13,-0.0656
50008,2024-04-12,DE-Berlin,T0419,81433,Drier Replace,44.03,74.41,29.39,147.83,168.96,0.023,165.07,0,17.24,0.1044
50009,2024-05-01,DE-Munich,T0007,85005,Refrigerant Charge,136.86,73.15,13.62,223.63,264.06,0.027,256.93,0,33.3,0.1296
50010,2024-08-02,DE-Hamburg,T0022,82010,Evaporator Coil Replace,622.3,107.75,27.8,757.85,903.18,0.052,856.21,0,98.36,0.1149
50011,2024-11-26,EU-EMEA-Remote,T0085,82010,Evaporator Coil Replace,212.42,90.64,23.6,326.66,391.4,0.211,308.81,0,-17.85,-0.0578
50012,2024-03-28,NL-Amsterdam,T0218,84015,Leak Diagnosis & Seal,407.38,121.22,27.47,556.07,644.01,0.2,515.21,0,-40.86,-0.0793
50013,2024-04-09,DE-Hamburg,T0128,85005,Refrigerant Charge,143.44,100.98,20.06,264.48,362.56,0.122,318.33,0,53.85,0.1692
50014,2024-12-25,DE-Berlin,T0495,83020,Thermostat Replace,196.25,87.77,27.63,311.65,378.43,0.044,361.78,0,50.13,0.1386
50015,2024-05-31,AT-Vienna,T0175,85005,Refrigerant Charge,171.76,98.05,16.43,286.24,337.78,0.07,314.14,0,27.9,0.0888
50016,2024-05-10,DE-Hamburg,T0363,82010,Evaporator Coil Replace,147.22,50.94,8.54,206.7,255.9,0.049,243.36,0,36.66,0.1506
50017,2024-05-29,DE-Berlin,T0116,84015,Leak Diagnosis & Seal,181.55,62.71,10.37,254.63,304.48,0.112,270.38,0,15.75,0.0583
