service_order_no,order_dt,region,job_code,technician_id,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct,week,year
90000,2024-06-24,DE-Munich,82010,T0046,324.68,71.47,21.06,450.58,451.26,0.125,395.01,0,-55.57,-0.1407,26,2024
90001,2024-07-15,DE-Munich,84015,T0070,129.76,46.01,9.71,200.32,233.1,0.034,225.25,0,24.93,0.1107,29,2024
90002,2024-01-26,DE-Berlin,84015,T0234,665.45,56.15,19.51,741.11,753.24,0.065,704.34,0,-36.77,-0.0522,4,2024
90003,2024-03-08,EU-EMEA-Remote,81433,T0060,11.35,45.45,27.81,84.61,105.2,0.08,96.8,0,12.19,0.1259,10,2024
90004,2024-07-30,NL-Amsterdam,81120,T0245,688.04,97.57,35.64,886.96,1162.37,0.306,806.95,0,-80.01,-0.0992,31,2024
90005,2024-04-13,NL-Amsterdam,81120,T0333,271.16,61.23,12.34,344.73,414.76,0.165,346.14,1,1.41,0.0041,15,2024
90006,2024-12-14,EU-EMEA-Remote,82010,T0354,249.05,63.14,17.01,329.2,413.04,0.14,355.17,0,25.97,0.0731,50,2024
90007,2024-07-04,DE-Berlin,83020,T0001,55.94,43.63,25.38,134.95,151.42,0.134,131.17,1,-3.78,-0.0288,27,2024
90008,2024-01-24,DE-Munich,83020,T0305,93.77,103.54,14.75,212.06,260.52,0.15,221.33,0,9.27,0.0419,4,2024
90009,2024-03-13,DE-Munich,81120,T0367,369.62,86.57,21.9,478.08,542.44,0.089,494.23,1,16.15,0.0327,11,2024
90010,2024-12-11,EU-EMEA-Remote,84015,T0197,42.6,114.31,25.1,182.01,196.52,0.108,175.26,1,-6.75,-0.0385,50,2024
90011,2024-02-12,DE-Berlin,81120,T0295,986.39,84.49,23.66,1094.54,1210.58,0.059,1139.17,0,44.63,0.0392,7,2024
90012,2024-08-06,EU-EMEA-Remote,83020,T0051,99.21,101.61,21.78,276.47,295.66,0.025,288.27,0,11.8,0.0409,32,2024
90013,2024-06-16,DE-Berlin,85005,T0353,140.79,64.72,12.06,234.97,270.84,0.187,220.31,1,-14.66,-0.0665,24,2024
90014,2024-03-09,EU-EMEA-Remote,81120,T0275,47.96,60.28,30.04,138.28,165.28,0.025,161.14,0,22.86,0.1419,10,2024
90015,2024-01-01,EU-EMEA-Remote,84015,T0261,166.51,79.36,13.27,259.13,298.12,0.022,291.46,0,32.33,0.1109,1,2024
90016,2024-03-16,EU-EMEA-Remote,82010,T0098,414.65,96.12,23.76,534.53,728.89,0.059,686.17,1,151.64,0.221,11,2024
90017,2024-11-07,NL-Amsterdam,84015,T0125,798.63,64.88,13.69,877.21,1237.99,0.02,1213.79,0,336.58,0.2773,45,2024
90018,2024-09-07,EU-EMEA-Remote,81120,T0255,347.1,111.75,23.03,520.44,668.08,0.2,534.74,1,14.3,0.0267,36,2024
90019,2024-01-07,AT-Vienna,81433,T0321,70.28,69.2,19.89,159.38,163.27,0.031,158.2,0,-1.18,-0.0075,1,2024
90020,2024-10-02,AT-Vienna,81433,T0138,164.63,66.47,23.46,254.56,299.36,0.031,290.09,0,35.53,0.1225,40,2024
90021,2024-02-14,DE-Munich,83020,T0198,43.84,39.4,22.45,105.7,139.7,0.216,109.56,0,3.86,0.0352,7,2024
90022,2024-07-10,DE-Hamburg,82010,T0101,195.15,65.68,19.1,302.34,378.64,0.077,349.4,0,47.06,0.1347,28,2024
90023,2024-11-21,DE-Hamburg,84015,T0169,649.28,61.81,26.73,737.81,820.15,0.108,731.22,0,-6.59,-0.009,47,2024
90024,2024-11-08,EU-EMEA-Remote,82010,T0104,561.0,60.48,13.5,634.99,692.9,0.29,492.29,0,-142.7,-0.2899,45,2024
90025,2024-06-01,EU-EMEA-Remote,84015,T0217,116.06,39.9,17.1,186.9,199.18,0.024,194.41,0,7.51,0.0386,22,2024
90026,2024-07-02,DE-Hamburg,85005,T0349,67.91,76.71,28.36,186.81,225.68,0.094,204.35,0,17.54,0.0858,27,2024
90027,2024-04-22,DE-Berlin,84015,T0004,112.56,66.49,20.47,199.53,277.85,0.099,250.45,1,50.92,0.2033,17,2024
90028,2024-09-08,DE-Berlin,84015,T0070,196.59,72.44,24.03,316.5,365.8,0.092,332.15,0,15.65,0.0471,36,2024
90029,2024-07-08,EU-EMEA-Remote,82010,T0083,107.82,82.01,14.67,220.86,232.06,0.116,205.05,0,-15.81,-0.0771,28,2024
90030,2024-10-17,DE-Munich,81120,T0041,280.16,53.44,23.44,357.04,443.96,0.057,418.87,1,61.83,0.1476,42,2024
90031,2024-11-08,DE-Berlin,82010,T0015,1110.38,79.44,27.51,1217.32,1368.88,0.104,1226.43,0,9.11,0.0074,45,2024
90032,2024-07-20,DE-Munich,81433,T0164,327.84,64.06,24.09,449.27,508.53,0.046,485.21,0,35.94,0.0741,29,2024
90033,2024-02-08,DE-Berlin,81433,T0039,34.52,109.13,10.34,153.99,182.59,0.041,175.17,0,21.18,0.1209,6,2024
90034,2024-09-17,DE-Munich,83020,T0191,172.06,96.25,17.93,309.14,393.58,0.131,342.2,0,33.06,0.0966,38,2024
90035,2024-05-17,EU-EMEA-Remote,83020,T0096,62.28,67.28,25.25,154.81,200.74,0.083,184.08,0,29.27,0.159,20,2024
90036,2024-12-09,DE-Berlin,81120,T0116,287.63,68.53,28.61,384.77,396.41,0.115,350.75,0,-34.02,-0.097,50,2024
90037,2024-07-14,DE-Munich,82010,T0267,1183.88,62.76,22.43,1370.6,1648.05,0.052,1562.43,0,191.83,0.1228,28,2024
90038,2024-03-13,DE-Berlin,82010,T0035,161.59,66.77,10.88,239.24,272.14,0.134,235.8,1,-3.44,-0.0146,11,2024
90039,2024-12-05,NL-Amsterdam,85005,T0005,80.67,78.93,23.6,183.2,208.32,0.18,170.83,0,-12.37,-0.0724,49,2024
90040,2024-09-14,EU-EMEA-Remote,83020,T0302,322.33,18.0,15.56,384.35,519.69,0.084,475.94,0,91.59,0.1924,37,2024
90041,2024-07-11,DE-Munich,81120,T0137,695.55,97.73,21.02,879.44,875.01,0.016,861.31,0,-18.13,-0.021,28,2024
90042,2024-12-15,DE-Hamburg,81120,T0179,148.49,43.51,22.92,214.92,277.87,0.198,222.96,1,8.04,0.0361,50,2024
90043,2024-04-02,NL-Amsterdam,85005,T0239,37.57,82.48,20.78,140.83,159.68,0.067,148.99,0,8.16,0.0548,14,2024
90044,2024-09-09,NL-Amsterdam,81433,T0367,170.5,48.2,29.47,268.03,325.99,0.091,296.35,0,28.32,0.0956,37,2024
90045,2024-03-12,NL-Amsterdam,82010,T0299,464.8,83.18,18.22,566.2,753.11,0.095,681.8,1,115.6,0.1696,11,2024
